time_id,full_date,year,quarter,month,month_name,week_of_year,day_of_week,day_name,is_weekend,year_month,is_rainy_season,is_dengue_peak,is_school_holiday,is_ramadan,is_lebaran
103,2022-04-13,2022,2,4,April,15,2,Wednesday,False,2022-04,False,False,False,True,False
104,2022-04-14,2022,2,4,April,15,3,Thursday,False,2022-04,False,False,False,True,False
105,2022-04-15,2022,2,4,April,15,4,Friday,False,2022-04,False,False,False,True,False
106,2022-04-16,2022,2,4,April,15,5,Saturday,True,2022-04,False,False,False,True,False
107,2022-04-17,2022,2,4,April,15,6,Sunday,True,2022-04,False,False,False,True,False
108,2022-04-18,2022,2,4,April,16,0,Monday,False,2022-04,False,False,False,True,False
109,2022-04-19,2022,2,4,April,16,1,Tuesday,False,2022-04,False,False,False,True,False
110,2022-04-20,2022,2,4,April,16,2,Wednesday,False,2022-04,False,False,False,True,False
111,2022-04-21,2022,2,4,April,16,3,Thursday,False,2022-04,False,False,False,True,False
112,2022-04-22,2022,2,4,April,16,4,Friday,False,2022-04,False,False,False,True,False
113,2022-04-23,2022,2,4,April,16,5,Saturday,True,2022-04,False,False,False,True,False
114,2022-04-24,2022,2,4,April,16,6,Sunday,True,2022-04,False,False,False,True,False
115,2022-04-25,2022,2,4,April,17,0,Monday,False,2022-04,False,False,False,True,False
116,2022-04-26,2022,2,4,April,17,1,Tuesday,False,2022-04,False,False,False,True,False
117,2022-04-27,2022,2,4,April,17,2,Wednesday,False,2022-04,False,False,False,True,False
118,2022-04-28,2022,2,4,April,17,3,Thursday,False,2022-04,False,False,False,True,False
119,2022-04-29,2022,2,4,April,17,4,Friday,False,2022-04,False,False,False,True,False
120,2022-04-30,2022,2,4,April,17,5,Saturday,True,2022-04,False,False,False,True,False
121,2022-05-01,2022,2,5,May,17,6,Sunday,True,2022-05,False,False,False,False,True
122,2022-05-02,2022,2,5,May,18,0,Monday,False,2022-05,False,False,False,False,True
123,2022-05-03,2022,2,5,May,18,1,Tuesday,False,2022-05,False,False,False,False,True
124,2022-05-04,2022,2,5,May,18,2,Wednesday,False,2022-05,False,False,False,False,True
125,2022-05-05,2022,2,5,May,18,3,Thursday,False,2022-05,False,False,False,False,True
126,2022-05-06,2022,2,5,May,18,4,Friday,False,2022-05,False,False,False,False,True
127,2022-05-07,2022,2,5,May,18,5,Saturday,True,2022-05,False,False,False,False,True
128,2022-05-08,2022,2,5,May,18,6,Sunday,True,2022-05,False,False,False,False,True
129,2022-05-09,2022,2,5,May,19,0,Monday,False,2022-05,False,False,False,False,True
130,2022-05-10,2022,2,5,May,19,1,Tuesday,False,2022-05,False,False,False,False,True
131,2022-05-11,2022,2,5,May,19,2,Wednesday,False,2022-05,False,False,False,False,True
132,2022-05-12,2022,2,5,May,19,3,Thursday,False,2022-05,False,False,False,False,True
133,2022-05-13,2022,2,5,May,19,4,Friday,False,2022-05,False,False,False,False,True
134,2022-05-14,2022,2,5,May,19,5,Saturday,True,2022-05,False,False,False,False,True
135,2022-05-15,2022,2,5,May,19,6,Sunday,True,2022-05,False,False,False,False,True
136,2022-05-16,2022,2,5,May,20,0,Monday,False,2022-05,False,False,False,False,True
137,2022-05-17,2022,2,5,May,20,1,Tuesday,False,2022-05,False,False,False,False,True
138,2022-05-18,2022,2,5,May,20,2,Wednesday,False,2022-05,False,False,False,False,True
139,2022-05-19,2022,2,5,May,20,3,Thursday,False,2022-05,False,False,False,False,True
140,2022-05-20,2022,2,5,May,20,4,Friday,False,2022-05,False,False,False,False,True
141,2022-05-21,2022,2,5,May,20,5,Saturday,True,2022-05,False,False,False,False,True
142,2022-05-22,2022,2,5,May,20,6,Sunday,True,2022-05,False,False,False,False,True
143,2022-05-23,2022,2,5,May,21,0,Monday,False,2022-05,False,False,False,False,True
144,2022-05-24,2022,2,5,May,21,1,Tuesday,False,2022-05,False,False,False,False,True
145,2022-05-25,2022,2,5,May,21,2,Wednesday,False,2022-05,False,False,False,False,True
146,2022-05-26,2022,2,5,May,21,3,Thursday,False,2022-05,False,False,False,False,True
147,2022-05-27,2022,2,5,May,21,4,Friday,False,2022-05,False,False,False,False,True
148,2022-05-28,2022,2,5,May,21,5,Saturday,True,2022-05,False,False,False,False,True
149,2022-05-29,2022,2,5,May,21,6,Sunday,True,2022-05,False,False,False,False,True
150,2022-05-30,2022,2,5,May,22,0,Monday,False,2022-05,False,False,False,False,True
151,2022-05-31,2022,2,5,May,22,1,Tuesday,False,2022-05,False,False,False,False,True
152,2022-06-01,2022,2,6,June,22,2,Wednesday,False,2022-06,False,False,True,False,False
153,2022-06-02,2022,2,6,June,22,3,Thursday,False,2022-06,False,False,True,False,False
154,2022-06-03,2022,2,6,June,22,4,Friday,False,2022-06,False,False,True,False,False
155,2022-06-04,2022,2,6,June,22,5,Saturday,True,2022-06,False,False,True,False,False
156,2022-06-05,2022,2,6,June,22,6,Sunday,True,2022-06,False,False,True,False,False
157,2022-06-06,2022,2,6,June,23,0,Monday,False,2022-06,False,False,True,False,False
158,2022-06-07,2022,2,6,June,23,1,Tuesday,False,2022-06,False,False,True,False,False
159,2022-06-08,2022,2,6,June,23,2,Wednesday,False,2022-06,False,False,True,False,False
160,2022-06-09,2022,2,6,June,23,3,Thursday,False,2022-06,False,False,True,False,False
161,2022-06-10,2022,2,6,June,23,4,Friday,False,2022-06,False,False,True,False,False
162,2022-06-11,2022,2,6,June,23,5,Saturday,True,2022-06,False,False,True,False,False
163,2022-06-12,2022,2,6,June,23,6,Sunday,True,2022-06,False,False,True,False,False
164,2022-06-13,2022,2,6,June,24,0,Monday,False,2022-06,False,False,True,False,False
165,2022-06-14,2022,2,6,June,24,1,Tuesday,False,2022-06,False,False,True,False,False
166,2022-06-15,2022,2,6,June,24,2,Wednesday,False,2022-06,False,False,True,False,False
167,2022-06-16,2022,2,6,June,24,3,Thursday,False,2022-06,False,False,True,False,False
168,2022-06-17,2022,2,6,June,24,4,Friday,False,2022-06,False,False,True,False,False
169,2022-06-18,2022,2,6,June,24,5,Saturday,True,2022-06,False,False,True,False,False
170,2022-06-19,2022,2,6,June,24,6,Sunday,True,2022-06,False,False,True,False,False
171,2022-06-20,2022,2,6,June,25,0,Monday,False,2022-06,False,False,True,False,False
172,2022-06-21,2022,2,6,June,25,1,Tuesday,False,2022-06,False,False,True,False,False
173,2022-06-22,2022,2,6,June,25,2,Wednesday,False,2022-06,False,False,True,False,False
174,2022-06-23,2022,2,6,June,25,3,Thursday,False,2022-06,False,False,True,False,False
175,2022-06-24,2022,2,6,June,25,4,Friday,False,2022-06,False,False,True,False,False
176,2022-06-25,2022,2,6,June,25,5,Saturday,True,2022-06,False,False,True,False,False
177,2022-06-26,2022,2,6,June,25,6,Sunday,True,2022-06,False,False,True,False,False
178,2022-06-27,2022,2,6,June,26,0,Monday,False,2022-06,False,False,True,False,False
179,2022-06-28,2022,2,6,June,26,1,Tuesday,False,2022-06,False,False,True,False,False
180,2022-06-29,2022,2,6,June,26,2,Wednesday,False,2022-06,False,False,True,False,False
181,2022-06-30,2022,2,6,June,26,3,Thursday,False,2022-06,False,False,True,False,False
182,2022-07-01,2022,3,7,July,26,4,Friday,False,2022-07,False,False,True,False,False
183,2022-07-02,2022,3,7,July,26,5,Saturday,True,2022-07,False,False,True,False,False
184,2022-07-03,2022,3,7,July,26,6,Sunday,True,2022-07,False,False,True,False,False
185,2022-07-04,2022,3,7,July,27,0,Monday,False,2022-07,False,False,True,False,False
186,2022-07-05,2022,3,7,July,27,1,Tuesday,False,2022-07,False,False,True,False,False
187,2022-07-06,2022,3,7,July,27,2,Wednesday,False,2022-07,False,False,True,False,False
188,2022-07-07,2022,3,7,July,27,3,Thursday,False,2022-07,False,False,True,False,False
189,2022-07-08,2022,3,7,July,27,4,Friday,False,2022-07,False,False,True,False,False
190,2022-07-09,2022,3,7,July,27,5,Saturday,True,2022-07,False,False,True,False,False
191,2022-07-10,2022,3,7,July,27,6,Sunday,True,2022-07,False,False,True,False,False
192,2022-07-11,2022,3,7,July,28,0,Monday,False,2022-07,False,False,True,False,False
193,2022-07-12,2022,3,7,July,28,1,Tuesday,False,2022-07,False,False,True,False,False
194,2022-07-13,2022,3,7,July,28,2,Wednesday,False,2022-07,False,False,True,False,False
195,2022-07-14,2022,3,7,July,28,3,Thursday,False,2022-07,False,False,True,False,False
196,2022-07-15,2022,3,7,July,28,4,Friday,False,2022-07,False,False,True,False,False
197,2022-07-16,2022,3,7,July,28,5,Saturday,True,2022-07,False,False,True,False,False
198,2022-07-17,2022,3,7,July,28,6,Sunday,True,2022-07,False,False,True,False,False
199,2022-07-18,2022,3,7,July,29,0,Monday,False,2022-07,False,False,True,False,False
200,2022-07-19,2022,3,7,July,29,1,Tuesday,False,2022-07,False,False,True,False,False
201,2022-07-20,2022,3,7,July,29,2,Wednesday,False,2022-07,False,False,True,False,False
202,2022-07-21,2022,3,7,July,29,3,Thursday,False,2022-07,False,False,True,False,False
203,2022-07-22,2022,3,7,July,29,4,Friday,False,2022-07,False,False,True,False,False
204,2022-07-23,2022,3,7,July,29,5,Saturday,True,2022-07,False,False,True,False,False
205,2022-07-24,2022,3,7,July,29,6,Sunday,True,2022-07,False,False,True,False,False
206,2022-07-25,2022,3,7,July,30,0,Monday,False,2022-07,False,False,True,False,False
207,2022-07-26,2022,3,7,July,30,1,Tuesday,False,2022-07,False,False,True,False,False
208,2022-07-27,2022,3,7,July,30,2,Wednesday,False,2022-07,False,False,True,False,False
209,2022-07-28,2022,3,7,July,30,3,Thursday,False,2022-07,False,False,True,False,False
210,2022-07-29,2022,3,7,July,30,4,Friday,False,2022-07,False,False,True,False,False
211,2022-07-30,2022,3,7,July,30,5,Saturday,True,2022-07,False,False,True,False,False
212,2022-07-31,2022,3,7,July,30,6,Sunday,True,2022-07,False,False,True,False,False
213,2022-08-01,2022,3,8,August,31,0,Monday,False,2022-08,False,False,False,False,False
214,2022-08-02,2022,3,8,August,31,1,Tuesday,False,2022-08,False,False,False,False,False
215,2022-08-03,2022,3,8,August,31,2,Wednesday,False,2022-08,False,False,False,False,False
216,2022-08-04,2022,3,8,August,31,3,Thursday,False,2022-08,False,False,False,False,False
217,2022-08-05,2022,3,8,August,31,4,Friday,False,2022-08,False,False,False,False,False
218,2022-08-06,2022,3,8,August,31,5,Saturday,True,2022-08,False,False,False,False,False
219,2022-08-07,2022,3,8,August,31,6,Sunday,True,2022-08,False,False,False,False,False
220,2022-08-08,2022,3,8,August,32,0,Monday,False,2022-08,False,False,False,False,False
221,2022-08-09,2022,3,8,August,32,1,Tuesday,False,2022-08,False,False,False,False,False
222,2022-08-10,2022,3,8,August,32,2,Wednesday,False,2022-08,False,False,False,False,False
223,2022-08-11,2022,3,8,August,32,3,Thursday,False,2022-08,False,False,False,False,False
224,2022-08-12,2022,3,8,August,32,4,Friday,False,2022-08,False,False,False,False,False
225,2022-08-13,2022,3,8,August,32,5,Saturday,True,2022-08,False,False,False,False,False
226,2022-08-14,2022,3,8,August,32,6,Sunday,True,2022-08,False,False,False,False,False
227,2022-08-15,2022,3,8,August,33,0,Monday,False,2022-08,False,False,False,False,False
228,2022-08-16,2022,3,8,August,33,1,Tuesday,False,2022-08,False,False,False,False,False
229,2022-08-17,2022,3,8,August,33,2,Wednesday,False,2022-08,False,False,False,False,False
230,2022-08-18,2022,3,8,August,33,3,Thursday,False,2022-08,False,False,False,False,False
231,2022-08-19,2022,3,8,August,33,4,Friday,False,2022-08,False,False,False,False,False
232,2022-08-20,2022,3,8,August,33,5,Saturday,True,2022-08,False,False,False,False,False
233,2022-08-21,2022,3,8,August,33,6,Sunday,True,2022-08,False,False,False,False,False
234,2022-08-22,2022,3,8,August,34,0,Monday,False,2022-08,False,False,False,False,False
235,2022-08-23,2022,3,8,August,34,1,Tuesday,False,2022-08,False,False,False,False,False
236,2022-08-24,2022,3,8,August,34,2,Wednesday,False,2022-08,False,False,False,False,False
237,2022-08-25,2022,3,8,August,34,3,Thursday,False,2022-08,False,False,False,False,False
238,2022-08-26,2022,3,8,August,34,4,Friday,False,2022-08,False,False,False,False,False
239,2022-08-27,2022,3,8,August,34,5,Saturday,True,2022-08,False,False,False,False,False
240,2022-08-28,2022,3,8,August,34,6,Sunday,True,2022-08,False,False,False,False,False
241,2022-08-29,2022,3,8,August,35,0,Monday,False,2022-08,False,False,False,False,False
242,2022-08-30,2022,3,8,August,35,1,Tuesday,False,2022-08,False,False,False,False,False
243,2022-08-31,2022,3,8,August,35,2,Wednesday,False,2022-08,False,False,False,False,False
244,2022-09-01,2022,3,9,September,35,3,Thursday,False,2022-09,False,False,False,False,False
245,2022-09-02,2022,3,9,September,35,4,Friday,False,2022-09,False,False,False,False,False
246,2022-09-03,2022,3,9,September,35,5,Saturday,True,2022-09,False,False,False,False,False
247,2022-09-04,2022,3,9,September,35,6,Sunday,True,2022-09,False,False,False,False,False
248,2022-09-05,2022,3,9,September,36,0,Monday,False,2022-09,False,False,False,False,False
249,2022-09-06,2022,3,9,September,36,1,Tuesday,False,2022-09,False,False,False,False,False
250,2022-09-07,2022,3,9,September,36,2,Wednesday,False,2022-09,False,False,False,False,False
